단축코드,한글 종목명,한글 종목약명,
214390,경보제약보통주,경보제약,
12610,경인양행보통주,경인양행,
9140,경인전자보통주,경인전자,
24910,경창산업,경창산업,
13580,계룡건설산업보통주,계룡건설,
12205,계양전기1우선주,계양전기우,
12200,계양전기보통주,계양전기,
2140,고려산업보통주,고려산업,
49720,고려신용정보,고려신용정보,
10130,고려아연보통주,고려아연,
2240,고려제강보통주,고려제강,
14570,고려제약,고려제약,
348150,고바이오랩,고바이오랩,
950190,고스트스튜디오,고스트스튜디오,
98460,고영테크놀러지,고영,
35290,골드앤에스,골드앤에스,
215000,골프존,골프존,
121440,골프존뉴딘홀딩스,골프존뉴딘홀딩스,
366030,공구우먼,공구우먼,
76340,관악산업,관악산업,
9290,광동제약보통주,광동제약,
86220,광동헬스바이오,광동헬스바이오,
14200,광림,광림,
17040,광명전기보통주,광명전기,
29480,광무,광무,
17900,광전자보통주,광전자,
37710,광주신세계보통주,광주신세계,
26910,광진실업,광진실업,
421800,교보12호기업인수목적,교보12호스팩,
440790,교보13호기업인수목적,교보13호스팩,
456490,교보14호기업인수목적,교보14호스팩,
465320,교보15호기업인수목적,교보15호스팩,
30610,교보증권보통주,교보증권,
339770,교촌에프앤비보통주,교촌에프앤비,
53270,구영테크,구영테크,
7690,국도화학보통주,국도화학,
5320,국동보통주,국동,
66620,국보디자인,국보디자인,
1140,국보보통주,국보,
43650,국순당,국순당,
6050,국영지앤엠,국영지앤엠,
60480,국일신동,국일신동,
78130,국일제지,국일제지,
307750,국전약품,국전약품,
2720,국제약품보통주,국제약품,
243870,굿센,굿센,
35080,그래디언트,그래디언트,
114090,그랜드코리아레저보통주,GKL,
900290,그레이트리치과기유한공사,GRT,
453450,그리드위즈,그리드위즈,
204020,그리티,그리티,
402490,그린리소스,그린리소스,
114450,그린생명과학,그린생명과학,
83420,그린케미칼보통주,그린케미칼,
186230,그린플러스,그린플러스,
14530,극동유화보통주,극동유화,
83450,글로벌스탠다드테크놀로지,GST,
900070,글로벌에스엠테크리미티드,글로벌에스엠,
204620,글로벌텍스프리,글로벌텍스프리,
19660,글로본,글로본,
14285,금강공업1우선주,금강공업우,
14280,금강공업보통주,금강공업,
53260,금강철강,금강철강,
8870,금비보통주,금비,
282720,금양그린파워,금양그린파워,
1570,금양보통주,금양,
2995,금호건설1우선주,금호건설우,
2990,금호건설보통주,금호건설,
11785,금호석유화학1우선주,금호석유우,
11780,금호석유화학보통주,금호석유,
214330,금호에이치티보통주,금호에이치티,
1210,금호전기보통주,금호전기,
73240,금호타이어보통주,금호타이어,
36190,금화피에스시,금화피에스시,
49080,기가레인,기가레인,
420770,기가비스,기가비스,
35460,기산텔레콤,기산텔레콤,
92440,기신정기 보통주,기신정기,
270,기아보통주,기아,
456700,길교이앤씨,길교이앤씨,
13700,까뮤이앤씨보통주,까뮤이앤씨,
308100,까스텔바작,까스텔바작,
4545,깨끗한나라1우선주,깨끗한나라우,
4540,깨끗한나라보통주,깨끗한나라,
407400,꿈비,꿈비,
187790,나노,나노,
286750,나노브릭,나노브릭,
121600,나노신소재,나노신소재,
247660,나노씨엠에스,나노씨엠에스,
39860,나노엔텍,나노엔텍,
91970,나노캠텍,나노캠텍,
417010,나노팀,나노팀,
244880,나눔테크,나눔테크,
405920,나라셀라,나라셀라,
288490,나라소프트,나라소프트,
51490,나라엠앤디,나라엠앤디,
137080,나래나노텍,나래나노텍,
190510,나무가,나무가,
242040,나무기술,나무기술,
89600,나스미디어,나스미디어,
293580,나우아이비캐피탈,나우IB,
257990,나우코스,나우코스,
138610,나이벡,나이벡,
130580,나이스디앤비,나이스디앤비,
36800,나이스정보통신,나이스정보통신,
30190,나이스평가정보보통주,NICE평가정보,
267320,나인테크,나인테크,
1260,남광토건보통주,남광토건,
8355,남선알미늄1우선주,남선알미우,
8350,남선알미늄보통주,남선알미늄,
4270,남성보통주,남성,
3925,남양유업1우선주,남양유업우,
3920,남양유업보통주,남양유업,
25860,남해화학보통주,남해화학,
111710,남화산업,남화산업,
91590,남화토건,남화토건,
168330,내츄럴엔도텍,내츄럴엔도텍,
94860,네오리진,네오리진,
253590,네오셈,네오셈,
212560,네오오토,네오오토,
95660,네오위즈,네오위즈,
42420,네오위즈홀딩스,네오위즈홀딩스,
950220,네오이뮨텍,네오이뮨텍,
311390,네오크레마,네오크레마,
85910,네오티스,네오티스,
92730,네오팜,네오팜,
290660,네오펙트,네오펙트,
306620,네온테크,네온테크,
153460,네이블,네이블,
7390,네이처셀,네이처셀,
33640,네패스,네패스,
330860,네패스아크,네패스아크,
5725,넥센1우선주,넥센우,
5720,넥센보통주,넥센,
2355,넥센타이어1우선주(신형),넥센타이어1우B,
2350,넥센타이어보통주,넥센타이어,
89140,넥스턴바이오사이언스,넥스턴바이오,
137940,넥스트아이,넥스트아이,
160550,넥스트엔터테인먼트월드,NEW,
396270,넥스트칩,넥스트칩,
348210,넥스틴,넥스틴,
92790,넥스틸보통주,넥스틸,
225570,넥슨게임즈,넥슨게임즈,
217270,넵튠,넵튠,
251270,넷마블보통주,넷마블,
317860,노드메이슨,노드메이슨,
104620,노랑풍선,노랑풍선,
90355,노루페인트 1우선주,노루페인트우,
90350,노루페인트 보통주,노루페인트,
325,노루홀딩스1우선주,노루홀딩스우,
320,노루홀딩스보통주,노루홀딩스,
194700,노바렉스,노바렉스,
285490,노바텍,노바텍,
283100,노보믹스,노보믹스,
145170,노브랜드,노브랜드,
229500,노브메타파마,노브메타파마,
106520,노블엠앤비,노블엠앤비,
376930,노을,노을,
6280,녹십자보통주,녹십자,
142280,녹십자엠에스,녹십자엠에스,
234690,녹십자웰빙,녹십자웰빙,
5257,녹십자홀딩스2우선주(신형),녹십자홀딩스2우,
5250,녹십자홀딩스보통주,녹십자홀딩스,
65560,녹원씨엔아이,녹원씨엔아이,
4370,농심보통주,농심,
72710,농심홀딩스보통주,농심홀딩스,
154030,농업회사법인 아시아종묘,아시아종묘,
403490,농업회사법인 우듬지팜,우듬지팜,
54050,농업회사법인농우바이오,농우바이오,
69140,누리플랜,누리플랜,
40160,누리플렉스,누리플렉스,
332290,누보,누보,
348340,뉴로메카,뉴로메카,
60260,뉴보텍,뉴보텍,
123840,뉴온,뉴온,
12340,뉴인텍,뉴인텍,
214870,뉴지랩파마,뉴지랩파마,
270870,뉴트리,뉴트리,
144960,뉴파워프라즈마,뉴파워프라즈마,
85670,뉴프렉스,뉴프렉스,
64260,다날,다날,
340360,다보링크,다보링크,
39560,다산네트웍스,다산네트웍스,
154040,다산솔루에타,다산솔루에타,
58730,다스코보통주,다스코,
30210,다올투자증권보통주,다올투자증권,
23590,다우기술보통주,다우기술,
32190,다우데이타,다우데이타,
323350,다원넥스뷰,다원넥스뷰,
68240,다원시스,다원시스,
145210,다이나믹디자인보통주,다이나믹디자인,
19680,대교보통주,대교,
19685,대교우선주(신형),대교우B,
6370,대구백화점보통주,대구백화점,
00806K,대덕1우선주,대덕1우,
8060,대덕보통주,대덕,
353200,대덕전자보통주,대덕전자,
35320K,대덕전자우선주,대덕전자1우,
178600,대동고려삼 주식회사,대동고려삼,
20400,대동금속,대동금속,
8830,대동기어,대동기어,
490,대동보통주,대동,
48470,대동스틸,대동스틸,
8110,대동전자보통주,대동전자,
4780,대륙제관,대륙제관,
5750,대림B&Co보통주,대림B&Co,
17650,대림제지,대림제지,
6570,대림통상보통주,대림통상,
7720,대명소노시즌,대명소노시즌,
389260,대명에너지,대명에너지,
317850,대모엔지니어링,대모,
290670,대보마그네틱,대보마그네틱,
78140,대봉엘에스,대봉엘에스,
65150,대산에프앤비,대산F&B,
1685,대상1우선주,대상우,
1680,대상보통주,대상,
84695,대상홀딩스 1우선주,대상홀딩스우,
84690,대상홀딩스 보통주,대상홀딩스,
36480,대성미생물연구소,대성미생물,
128820,대성산업보통주,대성산업,
117580,대성에너지보통주,대성에너지,
27830,대성창업투자,대성창투,
104040,대성파인텍,대성파인텍,
129920,대성하이텍,대성하이텍,
16710,대성홀딩스보통주,대성홀딩스,
438220,대신밸런스제13호기업인수목적,대신밸런스제13호스팩,
442310,대신밸런스제14호기업인수목적,대신밸런스제14호스팩,
457390,대신밸런스제15호기업인수목적,대신밸런스제15호스팩,
457630,대신밸런스제16호기업인수목적,대신밸런스제16호스팩,
471050,대신밸런스제17호기업인수목적,대신밸런스제17호스팩,
20180,대신정보통신,대신정보통신,
3545,대신증권1우선주,대신증권우,
3547,대신증권2우선주(신형),대신증권2우B,
3540,대신증권보통주,대신증권,
45390,대아티아이,대아티아이,
9190,대양금속보통주,대양금속,
108380,대양전기공업,대양전기공업,
14160,대영포장보통주,대영포장,
47040,대우건설보통주,대우건설,
9320,대우전자부품보통주,대우부품,
3090,대웅보통주,대웅,
69620,대웅제약보통주,대웅제약,
7680,대원,대원,
430,대원강업보통주,대원강업,
48910,대원미디어,대원미디어,
5710,대원산업,대원산업,
6345,대원전선1우선주,대원전선우,
6340,대원전선보통주,대원전선,
3220,대원제약보통주,대원제약,
24890,대원화성보통주,대원화성,
290380,대유,대유,
2880,대유에이텍,대유에이텍,
300,대유플러스보통주,대유플러스,
120240,대정화금,대정화금,
3310,대주산업,대주산업,
114920,대주이엔티 주식회사,대주이엔티,
78600,대주전자재료,대주전자재료,
15230,대창단조보통주,대창단조,
12800,대창보통주,대창,
96350,대창솔루션,대창솔루션,
140520,대창스틸,대창스틸,
131220,대한과학,대한과학,
10170,대한광통신,대한광통신,
54670,대한뉴팜,대한뉴팜,
1070,대한방직보통주,대한방직,
23910,대한약품공업,대한약품,
6650,대한유화보통주,대한유화,
1440,대한전선보통주,대한전선,
84010,대한제강 보통주,대한제강,
1795,대한제당1우선주,대한제당우,
1790,대한제당보통주,대한제당,
1130,대한제분보통주,대한제분,
3495,대한항공1우선주,대한항공우,
3490,대한항공보통주,대한항공,
5880,대한해운보통주,대한해운,
3830,대한화섬보통주,대한화섬,
16090,대현보통주,대현,
69460,대호에이엘보통주,대호에이엘,
21040,대호특수강,대호특수강,
21045,대호특수강1우선주,대호특수강우,
67080,대화제약,대화제약,
43090,더 테크놀로지,더테크놀로지,
298540,더네이쳐홀딩스,더네이쳐홀딩스,
32860,더라미,더라미,
192080,더블유게임즈보통주,더블유게임즈,
393890,더블유씨피,더블유씨피,
299170,더블유에스아이,더블유에스아이,
89230,더이앤엠,THE E&M,
12510,더존비즈온보통주,더존비즈온,
224060,더코디,더코디,
302920,더콘텐츠온,더콘텐츠온,
213420,덕산네오룩스,덕산네오룩스,
317330,덕산테코피아,덕산테코피아,
77360,덕산하이메탈,덕산하이메탈,
4835,덕성1우선주,덕성우,
4830,덕성보통주,덕성,
90410,덕신이피씨,덕신이피씨,
24900,덕양산업보통주,덕양산업,
263600,덕우전자,덕우전자,
194480,데브시스터즈,데브시스터즈,
263800,데이타솔루션,데이타솔루션,
199150,데이터스트림즈,데이터스트림즈,
206560,덱스터스튜디오,덱스터,
261200,덴티스,덴티스,
145720,덴티움보통주,덴티움,
227420,도부마스크,도부마스크,
67990,도이치모터스,도이치모터스,
2150,도화엔지니어링보통주,도화엔지니어링,
6620,동구바이오제약,동구바이오제약,
5160,동국산업,동국산업,
460850,동국씨엠보통주,동국씨엠,
75970,동국알앤에스,동국알앤에스,
100130,동국에스엔씨,동국S&C,
460860,동국제강보통주,동국제강,
86450,동국제약,동국제약,
1230,동국홀딩스보통주,동국홀딩스,
4140,동방보통주,동방,
99410,동방선기,동방선기,
7590,동방아그로보통주,동방아그로,
5965,동부건설1우선주,동부건설우,
5960,동부건설보통주,동부건설,
26960,동서보통주,동서,
2210,동성제약보통주,동성제약,
102260,동성케미컬보통주,동성케미컬,
33500,동성화인텍,동성화인텍,
25950,동신건설,동신건설,
640,동아쏘시오홀딩스보통주,동아쏘시오홀딩스,
170900,동아에스티보통주,동아에스티,
88130,동아엘텍,동아엘텍,
28100,동아지질보통주,동아지질,
282690,동아타이어공업보통주,동아타이어,
41930,동아화성,동아화성,
1525,동양1우선주,동양우,
1527,동양2우선주(신형),동양2우B,
84670,동양고속보통주,동양고속,
1520,동양보통주,동양,
82640,동양생명보험보통주,동양생명,
60380,동양에스텍,동양에스텍,
79960,동양이엔피,동양이엔피,
8970,동양철관보통주,동양철관,
228340,동양파일,동양파일,
92780,동양피스톤보통주,동양피스톤,
88910,동우팜투테이블,동우팜투테이블,
94170,동운아나텍,동운아나텍,
49770,동원F&B보통주,동원F&B,
13120,동원개발,동원개발,
18500,동원금속보통주,동원금속,
6040,동원산업보통주,동원산업,
30720,동원수산보통주,동원수산,
14825,동원시스템즈1우선주,동원시스템즈우,
14820,동원시스템즈보통주,동원시스템즈,
111380,동인기연보통주,동인기연,
163560,동일고무벨트보통주,동일고무벨트,
109860,동일금속,동일금속,
32960,동일기연,동일기연,
4890,동일산업보통주,동일산업,
2690,동일제강보통주,동일제강,
23790,동일철강,동일철강,
5290,동진쎄미켐,동진쎄미켐,
25900,동화기업,동화기업,
20,동화약품보통주,동화약품,
155,두산1우선주,두산우,
157,두산2우선주(신형),두산2우B,
454910,두산로보틱스보통주,두산로보틱스,
241560,두산밥캣보통주,두산밥캣,
150,두산보통주,두산,
34020,두산에너빌리티보통주,두산에너빌리티,
131970,두산테스나,두산테스나,
33626K,두산퓨얼셀1우선주,두산퓨얼셀1우,
33626L,두산퓨얼셀2우선주(신형),두산퓨얼셀2우B,
336260,두산퓨얼셀보통주,두산퓨얼셀,
16740,두올보통주,두올,
73190,듀오백,듀오백,
176750,듀켐바이오,듀켐바이오,
30350,드래곤플라이,드래곤플라이,
203650,드림시큐리티,드림시큐리티,
223250,드림씨아이에스,드림씨아이에스,
60570,드림어스컴퍼니,드림어스컴퍼니,
362990,드림인사이트,드림인사이트,
192650,드림텍보통주,드림텍,
217620,디딤이앤에프,디딤이앤에프,
16670,디모아,디모아,
187870,디바이스이엔지,디바이스이엔지,
456440,디비금융제11호기업인수목적,DB금융스팩11호,
477760,디비금융제12호기업인수목적,DB금융스팩12호,
24090,디씨엠보통주,디씨엠,
3160,디아이보통주,디아이,
92200,디아이씨 보통주,디아이씨,
110990,디아이티,디아이티,
4840,디알비동일보통주,DRB동일,
263690,디알젬,디알젬,
214680,디알텍,디알텍,
347850,디앤디파마텍,디앤디파마텍,
377190,디앤디플랫폼리츠보통주,디앤디플랫폼리츠,
263720,디앤씨미디어,디앤씨미디어,
376300,디어유,디어유,
241520,디에스씨인베스트먼트,DSC인베스트먼트,
109740,디에스케이,디에스케이,
290120,디에이치오토리드,DH오토리드,
25440,디에이치오토웨어,DH오토웨어,
196490,디에이테크놀로지,디에이테크놀로지,
66900,디에이피,디에이피,
180400,디엑스앤브이엑스,DXVX,
127120,디엔에이링크,디엔에이링크,
92070,디엔에프,디엔에프,
7340,디엔오토모티브보통주,DN오토모티브,
68790,디엠에스,DMS,
39840,디오,디오,
219550,디와이디,디와이디,
13570,디와이보통주,디와이,
310870,디와이씨,디와이씨,
210540,디와이파워보통주,디와이파워,
104460,디와이피엔에프,디와이피엔에프,
79810,디이엔티,디이엔티,
113810,디젠스,디젠스,
43360,디지아이,디지아이,
197140,디지캡,디지캡,
68930,디지털대성,디지털대성,
33130,디지틀조선일보,디지틀조선,
60900,디지피,DGP,
105740,디케이락,디케이락,
263020,디케이앤디,디케이앤디,
290550,디케이티,디케이티,
66670,디티씨,디티씨,
187220,디티앤씨,디티앤씨,
383930,디티앤씨알오,디티앤씨알오,
131180,딜리,딜리,
315640,딥노이드,딥노이드,
223310,딥마인드플랫폼,딥마인드,
317120,라닉스,라닉스,
462510,라메디텍,라메디텍,
42510,라온시큐어,라온시큐어,
232680,라온테크,라온테크,
418420,라온텍,라온텍,
300120,라온피플,라온피플,
171120,라이온켐텍,라이온켐텍,
388790,라이콤,라이콤,
347700,라이프시맨틱스,라이프시맨틱스,
214260,라파스,라파스,
403360,라피치,라피치,
115390,락앤락보통주,락앤락,
200350,래몽래인,래몽래인,
171010,램테크놀러지,램테크놀러지,
84650,랩지노믹스,랩지노믹스,
217500,러셀,러셀,
92590,럭스피아,럭스피아,
38390,레드캡투어,레드캡투어,
294140,레몬,레몬,
443250,레뷰코퍼레이션,레뷰코퍼레이션,
228670,레이,레이,
228850,레이언스,레이언스,
412350,레이저쎌,레이저쎌,
199550,레이저옵텍,레이저옵텍,
281740,레이크머티리얼즈,레이크머티리얼즈,
277810,레인보우로보틱스,레인보우로보틱스,
215100,로보로보,로보로보,
90360,로보스타,로보스타,
238500,로보쓰리에이아이,로보쓰리에이아이,
108490,로보티즈,로보티즈,
900260,로스웰인터내셔널,로스웰,
223220,로지스몬,로지스몬,
67730,로지시스,로지시스,
71280,로체시스템즈,로체시스템즈,
32350,롯데관광개발 보통주,롯데관광개발,
89860,롯데렌탈보통주,롯데렌탈,
330590,롯데리츠보통주,롯데리츠,
400,롯데손해보험보통주,롯데손해보험,
23530,롯데쇼핑 보통주,롯데쇼핑,
20150,롯데에너지머티리얼즈보통주,롯데에너지머티리얼즈,
280360,롯데웰푸드보통주,롯데웰푸드,
286940,롯데이노베이트보통주,롯데이노베이트,
4000,롯데정밀화학보통주,롯데정밀화학,
00499K,롯데지주1우선주,롯데지주우,
4990,롯데지주보통주,롯데지주,
5305,롯데칠성음료1우선주,롯데칠성우,
5300,롯데칠성음료보통주,롯데칠성,
11170,롯데케미칼보통주,롯데케미칼,
71840,롯데하이마트보통주,롯데하이마트,
328130,루닛,루닛,
38060,루멘스,루멘스,
162120,루켄테크놀러지스,루켄테크놀러지스,
253610,루트락,루트락,
60240,룽투코리아,룽투코리아,
141080,리가켐 바이오사이언스,리가켐바이오,
58470,리노공업,리노공업,
16100,리더스코스메틱,리더스코스메틱,
12700,리드코프,리드코프,
302550,리메드,리메드,
73570,리튬포어스,리튬포어스,
377450,리파인,리파인,
277070,린드먼아시아인베스트먼트,린드먼아시아,
42500,링네트,링네트,
193250,링크드,링크드,
219420,링크제니시스,링크제니시스,
439090,마녀공장,마녀공장,
27740,마니커보통주,마니커,
195500,마니커에프앤지,마니커에프앤지,
357430,마스턴프리미어리츠보통주,마스턴프리미어리츠,
377480,마음에이아이,마음AI,
305090,마이크로디지탈,마이크로디지탈,
448780,마이크로엔엑스,마이크로엔엑스,
424980,마이크로투나노,마이크로투나노,
169330,마크로밀엠브레인,엠브레인,
38290,마크로젠,마크로젠,
1080,만호제강보통주,만호제강,
267980,매일유업,매일유업,
5990,매일홀딩스,매일홀딩스,
93520,매커스,매커스,
377030,맥스트,맥스트,
88980,맥쿼리한국인프라투융자회사 보통주,맥쿼리인프라,
179720,머니무브,머니무브,
100590,머큐리,머큐리,
67280,멀티캠퍼스,멀티캠퍼스,
72870,메가스터디,메가스터디,
215200,메가스터디교육,메가스터디교육,
133750,메가엠디,메가엠디,
446540,메가터치,메가터치,
235980,메드팩토,메드팩토,
200580,메디쎄이,메디쎄이,
41920,메디아나,메디아나,
233250,메디안디노스틱,메디안디노스틱,
14100,메디앙스,메디앙스,
236340,메디젠휴먼케어,메디젠휴먼케어,
54180,메디콕스,메디콕스,
86900,메디톡스,메디톡스,
78160,메디포스트,메디포스트,
138040,메리츠금융지주회사보통주,메리츠금융지주,
408920,메쎄이상,메쎄이상,
21880,메이슨캐피탈,메이슨캐피탈,
140410,메지온,메지온,
241770,메카로,메카로,
90370,메타랩스보통주,메타랩스,
59210,메타바이오메드,메타바이오메드,
58110,멕아이씨에스,멕아이씨에스,
17180,명문제약 보통주,명문제약,
9900,명신산업보통주,명신산업,
12690,모나리자보통주,모나리자,
5360,모나미보통주,모나미,
70960,모나용평보통주,모나용평,
434480,모니터랩,모니터랩,
80420,모다이노칩,모다이노칩,
417970,모델솔루션,모델솔루션,
80160,모두투어네트워크,모두투어,
87260,모바일어플라이언스,모바일어플라이언스,
101330,모베이스,모베이스,
12860,모베이스전자,모베이스전자,
363260,모비데이즈,모비데이즈,
348030,모비릭스,모비릭스,
250060,모비스,모비스,
288980,모아데이타,모아데이타,
142760,모아라이프플러스,모아라이프플러스,
33200,모아텍,모아텍,
333050,모코엠시스,모코엠시스,
9680,모토닉보통주,모토닉,
118990,모트렉스,모트렉스,
6920,모헨즈,모헨즈,
38340,무궁화인포메이션테크놀로지,MIT,
1810,무림에스피,무림SP,
9200,무림페이퍼보통주,무림페이퍼,
9580,무림피앤피보통주,무림P&P,
322970,무진메디,무진메디,
33920,무학보통주,무학,
8420,문배철강보통주,문배철강,
279600,미디어젠,미디어젠,
95500,미래나노텍,미래나노텍,
254490,미래반도체,미래반도체,
25560,미래산업보통주,미래산업,
218150,미래생명자원,미래생명자원,
7120,미래아이앤지보통주,미래아이앤지,
396690,미래에셋글로벌리츠보통주,미래에셋글로벌리츠,
442900,미래에셋드림기업인수목적1호 주식회사,미래에셋드림스팩1호,
357250,미래에셋맵스리츠보통주,미래에셋맵스리츠,
94800,미래에셋맵스아시아퍼시픽부동산공모1호,맵스리얼티1,
100790,미래에셋벤처투자,미래에셋벤처투자,
412930,미래에셋비전기업인수목적1호,미래에셋비전스팩1호,
446190,미래에셋비전기업인수목적2호,미래에셋비전스팩2호,
448830,미래에셋비전기업인수목적3호,미래에셋비전스팩3호,
477380,미래에셋비전기업인수목적4호,미래에셋비전스팩4호,
477470,미래에셋비전기업인수목적5호,미래에셋비전스팩5호,
478440,미래에셋비전기업인수목적6호,미래에셋비전스팩6호,
85620,미래에셋생명보험보통주,미래에셋생명,
6805,미래에셋증권1우선주,미래에셋증권우,
